专业名,学院,教育层次,维度,供给评分,2024需求均值,超前度,分级
环境艺术设计,数字媒体学院,高职专科,AI相关性,18,8.45,9.6,同步
环境艺术设计,数字媒体学院,高职专科,技术复杂度,42,36.37,5.6,同步
虚拟现实技术应用,数字媒体学院,高职专科,数字化程度,88,34.32,53.7,显著超前
虚拟现实技术应用,数字媒体学院,高职专科,AI相关性,38,8.45,29.6,适度超前
虚拟现实技术应用,数字媒体学院,高职专科,技术复杂度,72,36.37,35.6,显著超前
工业设计,智能制造与装备学院,高职专科,数字化程度,58,34.32,23.7,适度超前
工业设计,智能制造与装备学院,高职专科,AI相关性,12,8.45,3.6,同步
工业设计,智能制造与装备学院,高职专科,技术复杂度,48,36.37,11.6,同步
工业软件开发技术,智能制造与装备学院,高职专科,数字化程度,85,34.32,50.7,显著超前
工业软件开发技术,智能制造与装备学院,高职专科,AI相关性,55,8.45,46.5,显著超前
工业软件开发技术,智能制造与装备学院,高职专科,技术复杂度,75,36.37,38.6,显著超前
智能光电制造技术,智能制造与装备学院,高职专科,数字化程度,70,34.32,35.7,显著超前
智能光电制造技术,智能制造与装备学院,高职专科,AI相关性,35,8.45,26.6,适度超前
智能光电制造技术,智能制造与装备学院,高职专科,技术复杂度,70,36.37,33.6,适度超前
智能控制技术,智能制造与装备学院,高职专科,数字化程度,90,34.32,55.7,显著超前
智能控制技术,智能制造与装备学院,高职专科,AI相关性,60,8.45,51.5,显著超前
智能控制技术,智能制造与装备学院,高职专科,技术复杂度,82,36.37,45.6,显著超前
机械设计与制造,智能制造与装备学院,高职专科,数字化程度,65,34.32,30.7,适度超前
机械设计与制造,智能制造与装备学院,高职专科,AI相关性,25,8.45,16.6,适度超前
机械设计与制造,智能制造与装备学院,高职专科,技术复杂度,70,36.37,33.6,适度超前
园林工程技术,交通与环境学院,高职专科,数字化程度,45,34.32,10.7,同步
园林工程技术,交通与环境学院,高职专科,AI相关性,15,8.45,6.6,同步
园林工程技术,交通与环境学院,高职专科,技术复杂度,40,36.37,3.6,同步
城市轨道交通运营管理,交通与环境学院,高职专科,数字化程度,55,34.32,20.7,适度超前
城市轨道交通运营管理,交通与环境学院,高职专科,AI相关性,15,8.45,6.6,同步
城市轨道交通运营管理,交通与环境学院,高职专科,技术复杂度,45,36.37,8.6,同步
智能建造技术,交通与环境学院,高职专科,数字化程度,72,34.32,37.7,显著超前
智能建造技术,交通与环境学院,高职专科,AI相关性,42,8.45,33.5,适度超前
智能建造技术,交通与环境学院,高职专科,技术复杂度,68,36.37,31.6,适度超前
环境工程技术,交通与环境学院,高职专科,数字化程度,38,34.32,3.7,同步
环境工程技术,交通与环境学院,高职专科,AI相关性,20,8.45,11.6,同步
环境工程技术,交通与环境学院,高职专科,技术复杂度,52,36.37,15.6,适度超前
环境监测技术,交通与环境学院,高职专科,数字化程度,58,34.32,23.7,适度超前
环境监测技术,交通与环境学院,高职专科,AI相关性,28,8.45,19.6,适度超前
环境监测技术,交通与环境学院,高职专科,技术复杂度,62,36.37,25.6,适度超前
关务与外贸服务,管理学院,高职专科,数字化程度,42,34.32,7.7,同步
关务与外贸服务,管理学院,高职专科,AI相关性,12,8.45,3.6,同步
关务与外贸服务,管理学院,高职专科,技术复杂度,38,36.37,1.6,同步
国际商务,管理学院,高职专科,数字化程度,58,34.32,23.7,适度超前
国际商务,管理学院,高职专科,AI相关性,22,8.45,13.6,同步
国际商务,管理学院,高职专科,技术复杂度,42,36.37,5.6,同步
工商企业管理,管理学院,高职专科,数字化程度,62,34.32,27.7,适度超前
工商企业管理,管理学院,高职专科,AI相关性,28,8.45,19.6,适度超前
工商企业管理,管理学院,高职专科,技术复杂度,45,36.37,8.6,同步
文化产业经营与管理,管理学院,高职专科,数字化程度,55,34.32,20.7,适度超前
文化产业经营与管理,管理学院,高职专科,AI相关性,15,8.45,6.6,同步
文化产业经营与管理,管理学院,高职专科,技术复杂度,40,36.37,3.6,同步
现代物流管理,管理学院,高职专科,数字化程度,70,34.32,35.7,显著超前
现代物流管理,管理学院,高职专科,AI相关性,35,8.45,26.6,适度超前
现代物流管理,管理学院,高职专科,技术复杂度,60,36.37,23.6,适度超前
电子商务,管理学院,高职专科,数字化程度,85,34.32,50.7,显著超前
电子商务,管理学院,高职专科,AI相关性,45,8.45,36.5,显著超前
电子商务,管理学院,高职专科,技术复杂度,65,36.37,28.6,适度超前
大数据与会计,财经学院,高职专科,数字化程度,62,34.32,27.7,适度超前
大数据与会计,财经学院,高职专科,AI相关性,35,8.45,26.6,适度超前
大数据与会计,财经学院,高职专科,技术复杂度,52,36.37,15.6,适度超前
财富管理,财经学院,高职专科,数字化程度,40,34.32,5.7,同步
财富管理,财经学院,高职专科,AI相关性,25,8.45,16.6,适度超前
财富管理,财经学院,高职专科,技术复杂度,38,36.37,1.6,同步
财税大数据应用,财经学院,高职专科,数字化程度,78,34.32,43.7,显著超前
财税大数据应用,财经学院,高职专科,AI相关性,52,8.45,43.5,显著超前
财税大数据应用,财经学院,高职专科,技术复杂度,68,36.37,31.6,适度超前
金融服务与管理,财经学院,高职专科,数字化程度,58,34.32,23.7,适度超前
金融服务与管理,财经学院,高职专科,AI相关性,30,8.45,21.6,适度超前
金融服务与管理,财经学院,高职专科,技术复杂度,48,36.37,11.6,同步
商务英语,应用外语学院,高职专科,数字化程度,55,34.32,20.7,适度超前
商务英语,应用外语学院,高职专科,AI相关性,25,8.45,16.6,适度超前
商务英语,应用外语学院,高职专科,技术复杂度,40,36.37,3.6,同步
学前教育,应用外语学院,高职专科,数字化程度,48,34.32,13.7,同步
学前教育,应用外语学院,高职专科,AI相关性,20,8.45,11.6,同步
学前教育,应用外语学院,高职专科,技术复杂度,35,36.37,-1.4,滞后
现代文秘,应用外语学院,高职专科,数字化程度,28,34.32,-6.3,滞后
现代文秘,应用外语学院,高职专科,AI相关性,18,8.45,9.6,同步
现代文秘,应用外语学院,高职专科,技术复杂度,22,36.37,-14.4,滞后
工业互联网技术,中德机器人学院,高职专科,数字化程度,82,34.32,47.7,显著超前
工业互联网技术,中德机器人学院,高职专科,AI相关性,58,8.45,49.5,显著超前
工业互联网技术,中德机器人学院,高职专科,技术复杂度,82,36.37,45.6,显著超前
工业机器人技术,中德机器人学院,高职专科,数字化程度,68,34.32,33.7,适度超前
工业机器人技术,中德机器人学院,高职专科,AI相关性,38,8.45,29.6,适度超前
工业机器人技术,中德机器人学院,高职专科,技术复杂度,88,36.37,51.6,显著超前
无人机应用技术,中德机器人学院,高职专科,数字化程度,40,34.32,5.7,同步
无人机应用技术,中德机器人学院,高职专科,AI相关性,20,8.45,11.6,同步
无人机应用技术,中德机器人学院,高职专科,技术复杂度,45,36.37,8.6,同步
智能机器人技术,中德机器人学院,高职专科,数字化程度,75,34.32,40.7,显著超前
智能机器人技术,中德机器人学院,高职专科,AI相关性,80,8.45,71.5,显著超前
智能机器人技术,中德机器人学院,高职专科,技术复杂度,80,36.37,43.6,显著超前
体育艺术表演,体育运动学院,高职专科,数字化程度,20,34.32,-14.3,滞后
体育艺术表演,体育运动学院,高职专科,AI相关性,3,8.45,-5.4,滞后
体育艺术表演,体育运动学院,高职专科,技术复杂度,20,36.37,-16.4,滞后
